gNaT,gNaP,galeak,VC,obsV,PTsoma,offset_pA,NaT_pA
0.24,1.10E-004,1.00E-004,-25,-5,0.42,61,144
0.24,1.10E-004,8.00E-005,-25,-3,0.41,60,144
0.24,1.10E-004,4.00E-005,-25,4,0.39,55,141
0.24,1.10E-004,1.00E-005,-25,16,0.36,51,141
0.24,0,1.20E-004,-25,-1,0.4,57,144
0.24,1.10E-004,1.20E-004,-25,-7,0.44,63,144
0.24,2.00E-004,1.20E-004,-25,-1,0.47,69,146
0.24,3.00E-004,1.20E-004,-25,8,0.52,77,147
0.24,1.10E-004,1.20E-004,-15,-7,0.38,54,139
0.24,1.10E-004,1.20E-004,-5,-6,0.35,47,133
0.24,1.10E-004,1.20E-004,0,-6,0.34,45,131
0.24,1.10E-004,1.20E-004,-35,-7,0.47,73,153
