data_set_value_component_environment_variable_time,data_set_value_component_A_variable_A,data_set_value_component_A_variable_v_tilday,data_set_value_component_A_variable_f,data_set_value_component_A_variable_sigma1,data_set_value_component_A_variable_b1,data_set_value_component_A_variable_muA,data_set_value_component_R_variable_R,data_set_value_component_R_variable_pi1,data_set_value_component_R_variable_beta,data_set_value_component_R_variable_muR,data_set_value_component_E_variable_E,data_set_value_component_E_variable_lambdaE,data_set_value_component_E_variable_muE,data_set_value_component_G_variable_G,data_set_value_component_G_variable_gamma,data_set_value_component_G_variable_muG
0.0,1.0,0.0025,0.0001,3e-06,0.25,0.25,0.0,0.016,200.0,0.25,0.0,1000.0,0.25,100000000.0,2000.0,5.0
0.1,2.8661023320988726,0.0025,0.0001,3e-06,0.25,0.25,40.34600040989775,0.016,200.0,0.25,200.11750499559213,1000.0,0.25,60652610.94802169,2000.0,5.0
0.2,3.8882502410141937,0.0025,0.0001,3e-06,0.25,0.25,109.15575559152138,0.016,200.0,0.25,534.2156331265642,1000.0,0.25,36837226.54037868,2000.0,5.0
0.30000000000000004,4.4051833082334255,0.0025,0.0001,3e-06,0.25,0.25,193.87769399275584,0.016,200.0,0.25,933.8219517762564,1000.0,0.25,22454916.04594691,2000.0,5.0
0.4,4.622243961206261,0.0025,0.0001,3e-06,0.25,0.25,286.8490502940217,0.016,200.0,0.25,1358.4490864968823,1000.0,0.25,13799195.58813571,2000.0,5.0
0.5,4.663737122663273,0.0025,0.0001,3e-06,0.25,0.25,383.26267467652275,0.016,200.0,0.25,1784.5397813919417,1000.0,0.25,8617722.500236364,2000.0,5.0
0.6000000000000001,4.604748775845458,0.0025,0.0001,3e-06,0.25,0.25,480.0711851589353,0.016,200.0,0.25,2198.7530617454836,1000.0,0.25,5541952.545290486,2000.0,5.0
0.7000000000000001,4.490481156756329,0.0025,0.0001,3e-06,0.25,0.25,575.3469525078366,0.016,200.0,0.25,2593.888801700472,1000.0,0.25,3740493.669867221,2000.0,5.0
0.8,4.348002586569359,0.0025,0.0001,3e-06,0.25,0.25,667.8874066330501,0.016,200.0,0.25,2966.415360053742,1000.0,0.25,2708411.0967204305,2000.0,5.0
0.9,4.193387192905404,0.0025,0.0001,3e-06,0.25,0.25,756.9637631896785,0.016,200.0,0.25,3314.9712757882917,1000.0,0.25,2139167.0824513575,2000.0,5.0
1.0,4.036052777010117,0.0025,0.0001,3e-06,0.25,0.25,842.1583176750067,0.016,200.0,0.25,3639.458707081348,1000.0,0.25,1846785.9183043758,2000.0,5.0
