value_component_environment_variable_time,value_component_C1_variable_C1,value_component_C2_variable_C2,value_component_C3_variable_C3,value_component_C4_variable_C4,value_component_C5_variable_C5,value_component_O1_variable_O1,value_component_O2_variable_O2,value_component_O3_variable_O3,value_component_reaction_constants_variable_C1C2,value_component_reaction_constants_variable_C2C1,value_component_reaction_constants_variable_C2C3,value_component_reaction_constants_variable_C3C2,value_component_reaction_constants_variable_C3O2,value_component_reaction_constants_variable_O2C3,value_component_reaction_constants_variable_O2C4,value_component_reaction_constants_variable_C4O2,value_component_reaction_constants_variable_C3O3,value_component_reaction_constants_variable_O3C3,value_component_reaction_constants_variable_O3C4,value_component_reaction_constants_variable_C4O3,value_component_reaction_constants_variable_C3O1,value_component_reaction_constants_variable_O1C3,value_component_reaction_constants_variable_C2C5,value_component_reaction_constants_variable_C5C2,value_component_reaction_constants_variable_Ca
0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,2.5,13.3,68.0,8000.0,17.0,92.0,1900.0,520.0,14.0,138.0,300.0,46.0,1100.0,3400.0,0.13,3.6,20.0
0.1,-0.030054897224677572,-0.2663920053858873,-0.04521520825647007,0.0001612179283339182,0.0873938370372942,-0.014673325690095903,-0.00022697945750669543,-0.0012224911991035555,2.5,13.3,68.0,8000.0,17.0,92.0,1900.0,520.0,14.0,138.0,300.0,46.0,1100.0,3400.0,0.13,3.6,20.0
0.2,-0.06761458738023504,0.10541843685036864,0.018017537286808213,0.010046613889352511,0.061232050992404446,0.0058897496093564105,0.002769011394761711,0.0016500805613948216,2.5,13.3,68.0,8000.0,17.0,92.0,1900.0,520.0,14.0,138.0,300.0,46.0,1100.0,3400.0,0.13,3.6,20.0
0.30000000000000004,0.056481178651374586,-0.02373740853125022,-0.004121613012727657,-0.005317084906244174,0.04230670003157398,-0.0013754922946120486,-0.0014332686095080143,-0.0007341463277431889,2.5,13.3,68.0,8000.0,17.0,92.0,1900.0,520.0,14.0,138.0,300.0,46.0,1100.0,3400.0,0.13,3.6,20.0
0.4,-0.03764679234990591,-0.008145713680372289,-0.0013341967750451925,0.0020651206717872328,0.029796204546892736,-0.00041107973080506876,0.0005392063440907864,0.00020897633030253092,2.5,13.3,68.0,8000.0,17.0,92.0,1900.0,520.0,14.0,138.0,300.0,46.0,1100.0,3400.0,0.13,3.6,20.0
0.5,0.013628208120179017,0.013102359808705902,0.002206114425814715,-0.00043225528272223927,0.020647714391430868,0.0007069374277906233,-0.00010139416913717634,6.424852116565285e-06,2.5,13.3,68.0,8000.0,17.0,92.0,1900.0,520.0,14.0,138.0,300.0,46.0,1100.0,3400.0,0.13,3.6,20.0
0.6000000000000001,-0.004829827318686628,-0.009608973332564177,-0.0016284643914058004,-0.0002125660511030934,0.014449764627701643,-0.000526420606571028,-6.600938282875386e-05,-6.733111202435038e-05,2.5,13.3,68.0,8000.0,17.0,92.0,1900.0,520.0,14.0,138.0,300.0,46.0,1100.0,3400.0,0.13,3.6,20.0
0.7000000000000001,-0.001489990043185512,0.004716148799159942,0.0008029786002779601,0.0002761301032559414,0.010077369913421057,0.0002612198950583504,7.793874347611525e-05,5.3466923546973224e-05,2.5,13.3,68.0,8000.0,17.0,92.0,1900.0,520.0,14.0,138.0,300.0,46.0,1100.0,3400.0,0.13,3.6,20.0
0.8,0.0011589430173246098,-0.0017030243288808917,-0.0002919813623742012,-0.00020388440400685771,0.007020410167991355,-9.584744099451104e-05,-5.5755718639000654e-05,-3.1605862013103326e-05,2.5,13.3,68.0,8000.0,17.0,92.0,1900.0,520.0,14.0,138.0,300.0,46.0,1100.0,3400.0,0.13,3.6,20.0
0.9,-0.001625492172010229,0.0001306771065398867,2.4031298811996394e-05,9.194235127393894e-05,0.0049068009100207985,8.598410898639395e-06,2.4502978060051074e-05,1.1485367861252279e-05,2.5,13.3,68.0,8000.0,17.0,92.0,1900.0,520.0,14.0,138.0,300.0,46.0,1100.0,3400.0,0.13,3.6,20.0
1.0,0.0004126846571513642,0.00027309383523062205,4.5480760200447945e-05,-3.5033759985322505e-05,0.003417485792493904,1.435834652180136e-05,-9.011238794605367e-06,-2.9372395289172992e-06,2.5,13.3,68.0,8000.0,17.0,92.0,1900.0,520.0,14.0,138.0,300.0,46.0,1100.0,3400.0,0.13,3.6,20.0
