data_set_value_component_environment_variable_time,data_set_value_component_rate_constants_variable_kappa_L1,data_set_value_component_rate_constants_variable_kappa_P1,data_set_value_component_rate_constants_variable_kappa_L2,data_set_value_component_rate_constants_variable_kappa_P2,data_set_value_component_rate_constants_variable_kappa_L2_0,data_set_value_component_rate_constants_variable_kappa_L2_1,data_set_value_component_rate_constants_variable_Kd_Ca,data_set_value_component_rate_constants_variable_n,data_set_value_component_cytosolic_calcium_variable_Ca_i,data_set_value_component_cytosolic_calcium_variable_Ca_o,data_set_value_component_cytosolic_calcium_variable_Ca_i_ss,data_set_value_component_cytosolic_calcium_variable_gamma,data_set_value_component_subspace_calcium_variable_Ca_s,data_set_value_component_subspace_calcium_variable_Ca_s_ss
0.0,5e-06,0.132,0.05501207303168976,3.78,0.054,2.4,1000.0,3.0,75.0,2000000.0,75.75470626112647,0.24,5300.0,5281.026456375038
0.1,5e-06,0.132,0.055016091570799695,3.78,0.054,2.4,1000.0,3.0,75.09917588890781,2000000.0,75.75470626112647,0.24,5299.625504778791,5280.646247830438
0.2,5e-06,0.132,0.05501971854257294,3.78,0.054,2.4,1000.0,3.0,75.18846398471909,2000000.0,75.75470626112647,0.24,5299.2870365215895,5280.303134575697
0.30000000000000004,5e-06,0.132,0.05502299027789215,3.78,0.054,2.4,1000.0,3.0,75.26882563875294,2000000.0,75.75470626112647,0.24,5298.981092868578,5279.993665664112
0.4,5e-06,0.132,0.05502594079354698,3.78,0.054,2.4,1000.0,3.0,75.34115068996559,2000000.0,75.75470626112647,0.24,5298.7044320865825,5279.714612034138
0.5,5e-06,0.132,0.05502860131098643,3.78,0.054,2.4,1000.0,3.0,75.40624841081232,2000000.0,75.75470626112647,0.24,5298.454106018312,5279.463011489082
0.6000000000000001,5e-06,0.132,0.05503100013223477,3.78,0.054,2.4,1000.0,3.0,75.46484685036671,2000000.0,75.75470626112647,0.24,5298.227462458595,5279.23617995735
0.7000000000000001,5e-06,0.132,0.055033162648537026,3.78,0.054,2.4,1000.0,3.0,75.51759504259421,2000000.0,75.75470626112647,0.24,5298.022137103358,5279.031710270822
0.8,5e-06,0.132,0.05503511178046226,3.78,0.054,2.4,1000.0,3.0,75.56507537579178,2000000.0,75.75470626112647,0.24,5297.8360084684655,5278.847430217666
0.9,5e-06,0.132,0.05503686827505305,3.78,0.054,2.4,1000.0,3.0,75.60781212667976,2000000.0,75.75470626112647,0.24,5297.667166787465,5278.681374180841
1.0,5e-06,0.132,0.05503845091513428,3.78,0.054,2.4,1000.0,3.0,75.64627759426035,2000000.0,75.75470626112647,0.24,5297.513891657601,5278.531763133521
